术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
0级数据,航天高光谱成像数据预处理产品分级,陆地观测卫星0级数据格式规范,时效冲突,定义2引用了更新的国家标准（GB/T36301—2018）并细化了处理步骤，体现了对同一术语定义的修订更新。
0级数据产品,空间科学实验数据产品分级规范,月球与行星探测数据质量检验要求,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“包含文件头信息和产品数据段”的实体，定义2的属是“数据级别之一”，导致层级定位不同。
0级数据产品,空间科学实验数据产品分级规范,月球探测数据产品分级与命名,层级冲突,两个定义将“0级数据产品”归入不同的上位概念（属），一个强调其文件结构与格式，另一个强调其数据处理来源与原始状态。
0级数据产品,月球与行星探测数据质量检验要求,月球探测数据产品分级与命名,层级冲突,定义1将术语归入“数据级别之一”的抽象类别，定义2则归入具体的数据产品（源包数据和采集数据），属概念（上位范畴）不同。
1985国家高程基准,基础地理信息要素数据字典 第4部分：1∶250 000 1∶500 000 1∶1 000 000 比例尺,中比例尺公众地图数据规范,层级冲突,定义1的属概念为“起算基准”，定义2的属概念为“基准”，两者在层级定位上存在差异。
1985国家高程基准,室内地图数据模型与表达,中比例尺公众地图数据规范,格式冲突,定义2缺少属概念和种差，仅为术语名称的简单重复，不符合内涵定义的基本写作规范。
1级数据产品,月球探测数据产品分级与命名,空间科学实验数据产品分级规范,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属概念是‘在OB级数据产品基础上处理的数据’，定义2的属概念是‘包含各物理参量的数据’，导致层级定位不同。
1级数据产品,月球探测数据产品分级与命名,月球与行星探测数据质量检验要求,层级冲突,定义1将术语归入“在OB级数据产品基础上处理的数据”这一具体范畴，而定义2将其归入“数据级别之一”这一更宽泛的范畴，导致层级定位不同。
1级数据产品,空间科学实验数据产品分级规范,月球与行星探测数据质量检验要求,层级冲突,定义1将术语的属概念定位为“包含各物理参量”的特定数据格式，而定义2将其定位为“数据级别之一”，两者属于不同的上位概念体系。
2000国家大地坐标系,室内地图数据模型与表达,中比例尺公众地图数据规范,格式冲突,定义1为使用要求陈述，定义2仅为标准引用，均不符合内涵定义规范，无法进行有效的属种差对比。
2级数据产品,月球探测数据产品分级与命名,空间科学实验数据产品分级规范,层级冲突,两个定义将术语归入不同的上位概念（属），定义1的属是“数据”，定义2的属是“科学数据”，导致层级定位不同。
2级数据产品,月球探测数据产品分级与命名,月球与行星探测数据质量检验要求,层级冲突,定义1的属概念是“在1级数据产品基础上处理得到的数据”，定义2的属概念是“数据级别之一”，两者对术语的层级定位不同。
2级数据产品,空间科学实验数据产品分级规范,月球与行星探测数据质量检验要求,层级冲突,定义1的属概念为‘科学数据’，定义2的属概念为‘数据级别之一’，两者属于不同的上位概念体系。
